game_id,Clusters,season
28500231,2,0
28500228,2,0
28500229,2,0
28500237,2,0
28500240,2,0
28500235,2,0
28500236,0,0
28500233,2,0
28500238,2,0
28500234,2,0
28500239,2,0
28500245,2,0
28500244,2,0
28500242,2,0
28500243,2,0
28500246,2,0
28500241,2,0
28500248,2,0
28500247,2,0
28500249,2,0
28500250,2,0
28500257,2,0
28500253,2,0
28500254,2,0
28500258,2,0
28500255,2,0
28500259,2,0
28500251,0,0
28500252,2,0
28500256,2,0
28500262,2,0
28500265,2,0
28500260,2,0
28500264,2,0
28500941,2,0
28500261,2,0
28500266,2,0
28500263,2,0
28500942,2,0
28500267,2,0
28500268,2,0
28500270,2,0
28500269,2,0
28500271,2,0
28500272,2,0
28500275,2,0
28500274,2,0
28500273,2,0
28500276,2,0
28500279,2,0
28500284,2,0
28500283,2,0
28500281,2,0
28500278,2,0
28500282,2,0
28500280,2,0
28500277,2,0
28500286,2,0
28500288,2,0
28500285,2,0
28500287,2,0
28500290,2,0
28500297,2,0
28500296,2,0
28500293,2,0
28500289,2,0
28500298,2,0
28500294,2,0
28500295,2,0
28500292,2,0
28500291,2,0
28500302,2,0
28500299,2,0
28500300,2,0
28500301,2,0
28500943,2,0
28500304,2,0
28500303,2,0
28500305,2,0
28500307,2,0
28500308,2,0
28500306,2,0
28500313,2,0
28500311,2,0
28500309,2,0
28500310,2,0
28500312,2,0
28500323,2,0
28500319,2,0
28500316,2,0
28500324,0,0
28500318,2,0
28500320,2,0
28500315,2,0
28500317,2,0
28500314,2,0
28500322,2,0
28500321,2,0
28500327,2,0
28500325,0,0
28500326,2,0
28500329,2,0
28500330,2,0
28500331,2,0
28500338,2,0
28500337,2,0
28500335,2,0
28500336,2,0
28500333,2,0
28500334,2,0
28500332,2,0
28500339,2,0
28500342,2,0
28500341,2,0
28500343,2,0
28500340,2,0
28500349,2,0
28500351,2,0
28500187,2,0
28500348,0,0
28500345,2,0
28500344,2,0
28500350,2,0
28500347,2,0
28500352,0,0
28500346,2,0
28500353,2,0
28500358,2,0
28500356,0,0
28500359,2,0
28500354,2,0
28500204,0,0
28500360,2,0
