game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
28800798,81,3,21,13,18,6,91,89,4,24,5,21,9,101,3
20500289,87,21,32,15,16,3,104,74,14,34,7,30,11,123,20
28600012,93,7,23,11,27,2,111,85,4,28,12,23,19,105,1
29201105,66,5,24,8,22,4,89,97,6,10,18,19,11,84,7
21300033,77,28,20,10,24,6,89,83,15,15,6,11,16,74,28
29400141,92,15,15,10,32,8,118,92,13,41,17,25,10,124,9
22100010,98,30,18,13,32,3,123,86,29,23,13,17,16,97,36
29401075,78,12,34,13,27,11,106,69,5,29,7,12,19,81,9
29800330,77,11,23,7,23,4,99,78,19,22,13,16,18,83,13
22200330,84,42,9,5,22,5,107,81,23,12,11,19,18,96,37
28800313,90,4,31,13,27,3,120,83,5,20,7,29,20,107,3
21900613,97,38,11,13,34,6,118,94,26,29,13,22,13,119,34
29700971,85,18,23,16,16,4,79,83,7,19,17,25,16,100,12
29200101,88,9,41,13,24,7,138,104,7,15,19,18,14,101,7
20300234,75,14,28,6,25,6,99,69,14,26,7,10,23,77,18
28700432,98,4,38,19,26,4,128,79,8,37,10,25,16,109,2
29200724,105,4,20,16,24,11,110,96,6,31,12,14,16,103,7
29700176,73,9,50,6,33,9,133,93,13,51,17,24,7,124,12
20900960,80,20,22,13,19,4,97,77,17,27,5,19,9,87,24
28500909,94,5,22,16,29,2,114,76,3,39,8,28,19,120,0
20900050,75,18,32,15,23,10,93,88,6,16,14,21,12,90,24
29700676,83,19,17,13,25,8,93,86,14,14,16,21,14,83,12
41700204,84,26,20,6,29,5,128,79,15,23,9,19,13,93,32
21600761,91,28,30,14,22,3,112,82,17,35,9,29,16,137,31
41200214,76,25,30,16,17,8,93,87,28,14,11,14,10,82,27
20400254,76,6,29,11,25,7,99,98,13,17,16,24,13,93,19
20401132,82,27,30,13,23,5,106,85,23,23,11,29,11,112,19
21001051,64,6,24,5,16,7,81,79,18,24,10,30,12,114,25
28800037,85,2,25,16,31,5,117,80,4,28,16,14,24,93,3
29400335,83,21,38,13,25,1,119,82,23,31,10,17,14,108,9
21600293,92,24,11,12,28,7,128,88,28,14,13,21,19,84,31
21700490,86,32,24,9,24,4,106,84,16,29,13,18,14,115,32
28700585,97,4,28,23,23,5,105,85,3,24,12,24,18,121,2
29000831,78,13,24,12,28,4,101,83,5,23,14,21,11,102,5
29000902,95,2,27,11,30,6,121,82,11,35,10,12,12,116,5
