mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
7.0976911067962645,0.4251603399486654,0.6005743503570556,0.1260039288200421,0.78,0.01,l2,lbfgs,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.870269495412844,0.8653763440860215,0.8731182795698925,0.8754121863799283,0.8774193548387097,0.8723191320574791,0.004210016850276243,1,0.8823124569855472,0.8759972646455436,0.8835240274599543,0.8896344285053216,0.8916164891153312,0.8846169333423395,0.005567275486610306,241
8.619551515579223,0.6566595646564747,0.5606937408447266,0.13495628251967023,0.78,0.01,l2,newton-cg,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.870269495412844,0.8653763440860215,0.8731182795698925,0.8754121863799283,0.8774193548387097,0.8723191320574791,0.004210016850276243,1,0.8823124569855472,0.8759972646455436,0.8835240274599543,0.8896344285053216,0.8916164891153312,0.8846169333423395,0.005567275486610306,241
7.69883713722229,0.9162010174550336,0.5979789733886719,0.1407467279565805,0.78,0.01,l2,newton-cholesky,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",0.870269495412844,0.8653763440860215,0.8731182795698925,0.8754121863799283,0.8774193548387097,0.8723191320574791,0.004210016850276243,1,0.8823124569855472,0.8759972646455436,0.8835240274599543,0.8896344285053216,0.8916164891153312,0.8846169333423395,0.005567275486610306,241
10.539803600311279,0.954809038305746,0.4789271831512451,0.07313531170154286,0.78,0.01,l2,sag,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.870269495412844,0.8653763440860215,0.8731182795698925,0.8754121863799283,0.8774193548387097,0.8723191320574791,0.004210016850276243,1,0.8823124569855472,0.8759972646455436,0.8835240274599543,0.8896344285053216,0.8916164891153312,0.8846169333423395,0.005567275486610306,241
9.722612333297729,1.4935465611192924,0.5766337394714356,0.09429079779093778,0.78,0.01,l2,saga,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.870269495412844,0.8653763440860215,0.8731182795698925,0.8754121863799283,0.8774193548387097,0.8723191320574791,0.004210016850276243,1,0.8823124569855472,0.8759972646455436,0.8835240274599543,0.8896344285053216,0.8916164891153312,0.8846169333423395,0.005567275486610306,241
8.678100728988648,0.7844266798994047,1.0196885108947753,0.816789370317988,0.78,0.01,,lbfgs,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': None, 'model__solver': 'lbfgs'}",0.8699827981651376,0.8655197132616488,0.8715412186379928,0.8741218637992831,0.8778494623655914,0.8718030112459308,0.004118208175772014,41,0.8849087127339959,0.8791360294117647,0.8849965429822539,0.8914006059193661,0.8947982271985071,0.8870480236491776,0.005484441710989931,1
9.219114112854005,0.8202848475872206,0.5808515548706055,0.14562569248018925,0.78,0.01,,newton-cg,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': None, 'model__solver': 'newton-cg'}",0.8699827981651376,0.8655197132616488,0.8715412186379928,0.8741218637992831,0.8778494623655914,0.8718030112459308,0.004118208175772014,41,0.8849087127339959,0.8791360294117647,0.8849965429822539,0.8914006059193661,0.8947982271985071,0.8870480236491776,0.005484441710989931,1
8.480132246017456,0.4362803150173206,0.7401784896850586,0.1350951887820481,0.78,0.01,,newton-cholesky,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",0.8699827981651376,0.8655197132616488,0.8715412186379928,0.8741218637992831,0.8778494623655914,0.8718030112459308,0.004118208175772014,41,0.8849087127339959,0.8791360294117647,0.8849965429822539,0.8914006059193661,0.8947982271985071,0.8870480236491776,0.005484441710989931,1
11.860243892669677,1.404110269535836,0.598822021484375,0.11058918877175923,0.78,0.01,,sag,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': None, 'model__solver': 'sag'}",0.8699827981651376,0.8655197132616488,0.8715412186379928,0.8741218637992831,0.8778494623655914,0.8718030112459308,0.004118208175772014,41,0.8849087127339959,0.8791360294117647,0.8849965429822539,0.8914006059193661,0.8947982271985071,0.8870480236491776,0.005484441710989931,1
9.701276350021363,2.389004887327885,0.5785634517669678,0.17327379914696284,0.78,0.01,,saga,"{'corr_selector__threshold': 0.78, 'model__C': 0.01, 'model__penalty': None, 'model__solver': 'saga'}",0.8699827981651376,0.8655197132616488,0.8715412186379928,0.8741218637992831,0.8778494623655914,0.8718030112459308,0.004118208175772014,41,0.8849087127339959,0.8791360294117647,0.8849965429822539,0.8914006059193661,0.8947982271985071,0.8870480236491776,0.005484441710989931,1
