,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
36,6.7167919158935545,1.1146436330970173,0.0,0.0,0.6,0.001,,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,232,,,,,,,,232
37,6.619825935363769,0.46053189440423764,0.0,0.0,0.6,0.001,,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,231,,,,,,,,231
38,6.439507627487183,0.6037013175844144,0.0,0.0,0.6,0.001,,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,214,,,,,,,,214
39,6.637043809890747,0.9799663792951876,0.0,0.0,0.6,0.001,,sag,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,200,,,,,,,,200
40,7.1013891220092775,1.0394729185560656,0.2614739418029785,0.10072762555733526,0.6,0.1,l2,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8480504587155964,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481763999868468,0.0041023202925448725,85,0.8644495412844037,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642541978559845,0.004917677311153741,100
41,8.459405899047852,1.2389330183478122,0.4988238334655762,0.16653975510720678,0.6,0.1,l2,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8480504587155964,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481763999868468,0.0041023202925448725,85,0.8644495412844037,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642541978559845,0.004917677311153741,100
42,7.95982141494751,1.1707104533679107,0.0,0.0,0.6,0.1,l2,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,201,,,,,,,,201
43,7.401212549209594,1.336783603479624,0.3207535266876221,0.09848212009507472,0.6,0.1,l2,sag,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8479071100917431,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481477302620762,0.004103600979416393,91,0.8642513185049301,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642145533000898,0.004916741633739909,106
44,6.016470909118652,0.5920699942096614,0.0,0.0,0.6,0.1,,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,202,,,,,,,,202
45,6.798397016525269,0.9570568659113621,0.0,0.0,0.6,0.1,,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,203,,,,,,,,203
46,6.778991746902466,1.27821939623353,0.0,0.0,0.6,0.1,,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,204,,,,,,,,204
47,6.060161066055298,0.8425210482563272,0.0,0.0,0.6,0.1,,sag,"{'corr_selector__threshold': 0.6, 'model__C': 0.1, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,205,,,,,,,,205
48,7.520433568954468,0.6495448732607502,0.4377913951873779,0.17040940799000362,0.6,10,l2,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8479071100917431,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476889489000691,0.004261535997683542,105,0.864920744314266,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645797958141612,0.004814445323379822,68
49,9.115490627288818,1.2346831462975076,0.44149489402770997,0.07873461249167153,0.6,10,l2,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8479071100917431,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476889489000691,0.004261535997683542,105,0.864920744314266,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645797958141612,0.004814445323379822,68
50,6.279790544509888,0.4367243413026686,0.0,0.0,0.6,10,l2,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,206,,,,,,,,206
