x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
oreb_home,pts_away,0.0,regression,True,mean absolute error,10.5006,10.553911852338228,DecisionTreeRegressor()
oreb_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.47408635565639756,DecisionTreeRegressor()
dreb_home,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.623471185223062,DecisionTreeRegressor()
dreb_home,ftm_home,0.0,regression,True,mean absolute error,5.3258,5.378984348452132,DecisionTreeRegressor()
dreb_home,fta_home,0.0,regression,True,mean absolute error,6.5984,6.661204842805174,DecisionTreeRegressor()
dreb_home,ast_home,0.0,regression,True,mean absolute error,4.4306,4.446516439675621,DecisionTreeRegressor()
fta_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.0194415647705863,DecisionTreeRegressor()
dreb_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1760409609434297,DecisionTreeRegressor()
dreb_home,pf_home,0.0,regression,True,mean absolute error,3.6374,3.649752653319403,DecisionTreeRegressor()
dreb_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.3885364228615806,DecisionTreeRegressor()
dreb_home,fta_away,0.0,regression,True,mean absolute error,6.131,6.147642008282064,DecisionTreeRegressor()
dreb_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4348689453475854,DecisionTreeRegressor()
dreb_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.3203489160832085,DecisionTreeRegressor()
dreb_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.374032254116225,DecisionTreeRegressor()
dreb_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.0058792267874486,DecisionTreeRegressor()
oreb_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.350517992957787,DecisionTreeRegressor()
oreb_home,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.479465412631116,DecisionTreeRegressor()
oreb_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4205072973860533,DecisionTreeRegressor()
oreb_home,fta_away,0.0,regression,True,mean absolute error,6.131,6.14649995808027,DecisionTreeRegressor()
fta_home,tov_away,0.0,regression,True,mean absolute error,3.2988,3.331258482607717,DecisionTreeRegressor()
fga_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.439791886179045,DecisionTreeRegressor()
fta_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.46338006844993485,DecisionTreeRegressor()
oreb_home,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.657927868721077,DecisionTreeRegressor()
fg3a_home,stl_home,0.0,regression,True,mean absolute error,2.4324,2.450918753730528,DecisionTreeRegressor()
oreb_home,ftm_home,0.0,regression,True,mean absolute error,5.3258,5.361271130830563,DecisionTreeRegressor()
oreb_home,dreb_home,0.0,regression,True,mean absolute error,4.366,4.389225607365588,DecisionTreeRegressor()
oreb_home,ast_home,0.0,regression,True,mean absolute error,4.4306,4.453765524332696,DecisionTreeRegressor()
oreb_home,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4461852285349353,DecisionTreeRegressor()
oreb_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1921462712469957,DecisionTreeRegressor()
oreb_home,tov_home,0.0,regression,True,mean absolute error,3.2248,3.2330603832704305,DecisionTreeRegressor()
oreb_home,pf_home,0.0,regression,True,mean absolute error,3.6374,3.6531954611456543,DecisionTreeRegressor()
oreb_home,pts_home,0.0,regression,True,mean absolute error,10.7954,10.868364806139267,DecisionTreeRegressor()
oreb_home,plus_minus_home,0.0,regression,True,mean absolute error,10.4048,10.496228400973543,DecisionTreeRegressor()
oreb_home,fgm_away,0.0,regression,True,mean absolute error,4.4624,4.487432929411909,DecisionTreeRegressor()
oreb_home,fga_away,0.0,regression,True,mean absolute error,6.688,6.706346211232293,DecisionTreeRegressor()
oreb_home,ftm_away,0.0,regression,True,mean absolute error,5.0038,5.020173404548485,DecisionTreeRegressor()
blk_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.004119388875331,DecisionTreeRegressor()
blk_home,tov_away,0.0,regression,True,mean absolute error,3.2988,3.323020950510318,DecisionTreeRegressor()
blk_home,pf_away,0.0,regression,True,mean absolute error,3.8206,3.837110647026063,DecisionTreeRegressor()
fg3a_away,ftm_home,0.0,regression,True,mean absolute error,5.3258,5.33976769303566,DecisionTreeRegressor()
fg3m_away,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4492697547754623,DecisionTreeRegressor()
fg3m_away,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1677439745318248,DecisionTreeRegressor()
fg3m_away,reb_away,0.0,regression,True,mean absolute error,5.3172,5.331201160171185,DecisionTreeRegressor()
fg3m_away,stl_away,0.0,regression,True,mean absolute error,2.3614,2.374639783955529,DecisionTreeRegressor()
fg3m_away,blk_away,0.0,regression,True,mean absolute error,1.9744,2.0071337193805894,DecisionTreeRegressor()
fg3m_away,home_wins,0.0,regression,True,mean absolute error,0.3872,0.46182829866118963,DecisionTreeRegressor()
fgm_home,pf_away,0.0,regression,True,mean absolute error,3.8206,3.843210824298134,DecisionTreeRegressor()
fgm_home,tov_away,0.0,regression,True,mean absolute error,3.2988,3.3227545186487664,DecisionTreeRegressor()
fg3a_away,reb_home,0.0,regression,True,mean absolute error,5.3582,5.372531234618535,DecisionTreeRegressor()
fgm_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.4195440779089007,DecisionTreeRegressor()
fg3a_away,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4541142291988773,DecisionTreeRegressor()
fg3a_away,blk_home,0.0,regression,True,mean absolute error,2.1418,2.182372128250302,DecisionTreeRegressor()
fg3a_away,tov_home,0.0,regression,True,mean absolute error,3.2248,3.2341638724983857,DecisionTreeRegressor()
fg3a_away,plus_minus_home,0.0,regression,True,mean absolute error,10.4048,10.519936202590262,DecisionTreeRegressor()
fgm_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.003245119044613,DecisionTreeRegressor()
fg3a_away,stl_away,0.0,regression,True,mean absolute error,2.3614,2.384622488143747,DecisionTreeRegressor()
fg3a_away,blk_away,0.0,regression,True,mean absolute error,1.9744,2.003150557974302,DecisionTreeRegressor()
fgm_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.3760329507799716,DecisionTreeRegressor()
fg3m_away,reb_home,0.0,regression,True,mean absolute error,5.3582,5.3866808790346035,DecisionTreeRegressor()
fga_away,home_wins,0.0,regression,True,mean absolute error,0.3872,0.47494175259981425,DecisionTreeRegressor()
blk_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.46297085120981163,DecisionTreeRegressor()
fga_away,stl_home,0.0,regression,True,mean absolute error,2.4324,2.461382429353645,DecisionTreeRegressor()
fgm_away,pf_away,0.0,regression,True,mean absolute error,3.8206,3.8612468748200106,DecisionTreeRegressor()
fgm_away,year,0.0,regression,True,mean absolute error,9.1936,9.239781543008595,DecisionTreeRegressor()
fgm_away,home_wins,0.0,regression,True,mean absolute error,0.3872,0.4376903163414915,DecisionTreeRegressor()
fg3m_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.371509016939989,DecisionTreeRegressor()
fga_away,fg3m_home,0.0,regression,True,mean absolute error,3.4412,3.497615124300629,DecisionTreeRegressor()
fga_away,fg3a_home,0.0,regression,True,mean absolute error,8.27,8.36558135531353,DecisionTreeRegressor()
fga_away,fta_home,0.0,regression,True,mean absolute error,6.5984,6.611386754981313,DecisionTreeRegressor()
fga_away,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.495515264394129,DecisionTreeRegressor()
fga_home,year,0.0,regression,True,mean absolute error,9.1936,9.225580971407684,DecisionTreeRegressor()
fga_away,year,0.0,regression,True,mean absolute error,9.1936,9.227572193683345,DecisionTreeRegressor()
fga_away,plus_minus_home,0.0,regression,True,mean absolute error,10.4048,10.517270373263784,DecisionTreeRegressor()
fga_home,fg3m_home,0.0,regression,True,mean absolute error,3.4412,3.4965794771060263,DecisionTreeRegressor()
