fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
42,107,3,23,18,27,18,39,57,27,10,1,15,32,105,-3,38,84,10,22,22,38,9,42,51,22,9,3,18,25,108,1,19
40,78,1,4,30,40,13,37,50,29,8,5,17,19,111,9,44,90,2,3,12,19,9,24,33,30,7,4,11,26,102,0,6
36,75,3,13,15,15,10,22,32,23,8,3,13,23,90,-2,31,73,9,16,21,27,18,25,43,16,5,3,18,16,92,0,21
32,73,8,25,20,33,8,29,37,23,10,1,18,17,92,-1,38,84,6,20,11,19,9,37,46,24,13,2,19,26,93,0,17
45,91,1,7,23,30,15,37,52,31,10,8,12,22,114,19,34,87,2,7,25,30,11,34,45,32,8,3,15,28,95,0,7
33,87,3,8,21,29,12,26,38,22,10,4,10,27,90,-7,39,79,0,3,19,30,8,34,42,24,3,7,16,21,97,0,0
41,88,17,39,4,10,9,32,41,28,4,7,19,16,103,-16,44,87,15,29,16,20,6,38,44,28,9,6,13,18,119,0,35
48,79,8,12,15,19,6,27,33,33,11,5,15,17,119,24,38,79,2,9,17,19,10,24,34,23,5,2,16,20,95,0,9
36,90,7,23,22,28,10,41,51,23,16,4,20,27,101,-9,40,93,11,22,19,26,11,35,46,24,13,2,22,29,110,1,17
43,84,2,7,22,30,12,30,42,23,9,5,15,20,110,5,39,76,5,13,22,25,3,28,31,18,8,8,14,25,105,0,25
38,82,3,15,19,25,9,34,43,19,8,4,15,29,98,-1,33,88,4,11,29,35,16,30,46,20,6,4,13,25,99,0,15
33,78,8,27,12,19,12,33,45,16,5,1,22,19,86,-15,39,81,10,27,13,17,4,29,33,27,9,10,10,20,101,0,30
