,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
52,29.940142583847045,0.9755202895702296,0.6395845890045166,0.08000246246345036,0.683,SAMME.R,1.0,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 20}",0.7727924311926605,0.7643010752688172,0.7708960573476703,0.7687455197132617,0.7756272401433691,0.7704724647331558,0.003826271595909652,64,0.7797932925543134,0.7717937971500419,0.7823667879306655,0.782393456736978,0.7737704918032787,0.7780235652350556,0.00442696541472606,63
53,32.86105155944824,0.5308574807705942,0.8774449825286865,0.15692824611545791,0.683,SAMME.R,1.0,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 30}",0.7950114678899083,0.7913978494623656,0.8018637992831541,0.7998566308243727,0.8032974910394265,0.7982854476998456,0.00443963395291138,54,0.8010291595197255,0.7948717948717948,0.8082487583675232,0.8028138989554466,0.8005034612964128,0.8014934146021806,0.004299296140025564,55
54,34.69845700263977,1.1141433094153723,0.9816584110260009,0.09775359275524703,0.683,SAMME.R,1.0,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 40}",0.8113532110091743,0.8067383512544802,0.8166308243727599,0.8190681003584229,0.8170609318996416,0.8141702837788959,0.004507066315378264,42,0.8169197396963124,0.8134490238611713,0.8229257641921397,0.825136612021858,0.8199697428139183,0.8196801765170798,0.0041674368927976,45
55,36.697872924804685,1.1100645399343905,1.281010341644287,0.24794363324441396,0.683,SAMME.R,1.0,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 50}",0.8198107798165137,0.8194982078853047,0.8293906810035843,0.8229390681003584,0.8341218637992831,0.8251521201210089,0.005723913679866484,30,0.8293922651933702,0.8255737704918032,0.8338812184966031,0.8310542567269519,0.8387593488781346,0.8317321719573727,0.00442403114452095,36
56,32.358149766922,2.235987221771991,0.6617541313171387,0.16052056418864769,0.683,SAMME.R,1.5,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 20}",0.7660550458715596,0.7711827956989248,0.7716129032258064,0.777347670250896,0.7812186379928315,0.7734834106080036,0.005267608086542765,62,0.7988532110091743,0.7902021089630932,0.7924778761061947,0.8183111954459203,0.7906926871113017,0.7981074157271368,0.010563263864466453,59
57,31.33766574859619,2.059847061207108,1.080421543121338,0.4163201230667939,0.683,SAMME.R,1.5,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 30}",0.7985951834862385,0.7946953405017921,0.8047311827956989,0.8044444444444444,0.8098924731182796,0.8024717248692907,0.0052832566499057725,51,0.8211289956925867,0.8147151188873935,0.8290226596475166,0.832754227472782,0.8313225586159799,0.8257887120632518,0.006840141841318465,39
58,34.018594789505,0.7765510608864632,0.8419124603271484,0.14679321844996507,0.683,SAMME.R,1.5,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 40}",0.8096330275229358,0.8154838709677419,0.821505376344086,0.8186379928315413,0.8167741935483871,0.8164068922429383,0.003945743826820631,41,0.8317373461012312,0.8377203021286336,0.8404642694583523,0.845742205677059,0.8414493422570967,0.8394226931244745,0.004627982732005843,29
59,37.437385416030885,1.8478326696506093,0.78197021484375,0.22964306259840314,0.683,SAMME.R,1.5,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 50}",0.8185206422018348,0.822078853046595,0.8324014336917562,0.8258064516129032,0.8285304659498208,0.8254675693005821,0.004843920859511637,29,0.84051329055912,0.8415773877364942,0.8505484460694699,0.8532024310425432,0.8523754345307069,0.8476433979876669,0.005465697302584771,20
60,29.938788223266602,0.6094498433869961,0.7217660903930664,0.1586162600737358,0.683,SAMME.R,2.0,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 20}",0.603927752293578,0.6017204301075268,0.6090322580645161,0.597562724014337,0.6030107526881721,0.603050783433626,0.003699658139985347,85,0.6965094590993871,0.7113491603937464,0.6653526062198861,0.7059331797235023,0.7132481115630448,0.6984785033999132,0.01755317370320246,93
61,30.879758453369142,1.9488708051001515,0.6413220405578614,0.13232697517858874,0.683,SAMME.R,2.0,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 30}",0.603927752293578,0.6017204301075268,0.6090322580645161,0.597562724014337,0.6030107526881721,0.603050783433626,0.003699658139985347,85,0.6965094590993871,0.7113491603937464,0.6653526062198861,0.7059331797235023,0.7132481115630448,0.6984785033999132,0.01755317370320246,93
